episode,step,task,action_x,action_y,action_z,action_gripper,ee_x,ee_y,ee_z,ee_vx,ee_vy,ee_vz,cube_x,cube_y,cube_z,active_target_name,active_target_index,target_x,target_y,target_z,dist_ee_cube,dist_cube_target,reward,success,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,cube_roll,cube_pitch,cube_yaw,cube_vx,cube_vy,cube_vz,goal_0_x,goal_0_y,goal_0_z,dist_goal_0,goal_1_x,goal_1_y,goal_1_z,dist_goal_1,goal_2_x,goal_2_y,goal_2_z,dist_goal_2,goal_3_x,goal_3_y,goal_3_z,dist_goal_3,target_changed,timestep
1,23,PUSH,0.0,0.0,1.0,0.0,0.067,-0.0,0.03,0.066,-0.0,0.444,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.0477,0.1065,-0.1065,False,-0.0,0.8,0.0,-1.66,-0.0,2.4,0.79,-0.0,-0.81,0.0,-0.14,0.0,-0.52,-0.0,0.0,0.0,-0.002,-0.0,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,22
1,24,PUSH,0.148,-0.0,0.989,0.0,0.071,-0.0,0.057,0.342,-0.0,0.962,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.0558,0.1065,-0.1065,False,-0.0,0.75,0.0,-1.67,-0.0,2.4,0.79,-0.0,-1.53,0.0,-0.15,0.0,-0.06,-0.0,0.0,0.0,-0.002,-0.0,0.0,0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,23
1,25,PUSH,0.14,-0.0,0.99,0.0,0.078,-0.0,0.097,0.159,0.0,0.642,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.0847,0.1065,-0.1065,False,-0.0,0.68,0.0,-1.68,-0.0,2.36,0.79,-0.0,-1.0,0.0,-0.03,0.0,-0.31,-0.0,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,24
1,26,PUSH,0.08,-0.0,0.997,0.0,0.079,-0.0,0.13,0.179,0.0,0.874,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.1156,0.1065,-0.1065,False,-0.0,0.63,0.0,-1.67,-0.0,2.29,0.79,-0.0,-1.31,0.0,0.07,0.0,-0.53,-0.0,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,25
1,27,PUSH,0.134,0.0,-0.991,0.0,0.101,-0.0,0.144,0.003,0.0,-0.518,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.1249,0.1065,-0.1065,False,-0.0,0.63,0.0,-1.66,-0.0,2.37,0.79,0.0,0.91,-0.0,0.11,-0.0,0.64,0.0,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,26
1,28,PUSH,-0.088,-0.885,-0.457,0.0,0.09,-0.021,0.118,-0.192,-1.06,-0.43,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.1025,0.1065,-0.1065,False,-0.03,0.68,-0.01,-1.63,0.01,2.31,0.73,-1.49,0.7,-0.06,0.21,0.05,-0.45,-0.46,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,27
1,29,PUSH,0.226,-0.97,0.086,0.0,0.092,-0.068,0.112,0.023,-0.74,0.089,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.1164,0.1065,-0.1065,False,-0.08,0.71,-0.02,-1.59,0.02,2.29,0.68,-0.99,0.08,-0.09,0.38,0.07,-0.19,-0.33,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,28
1,30,PUSH,0.213,0.915,0.343,0.0,0.095,-0.076,0.124,0.125,0.311,0.286,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.13,0.1065,-0.1065,False,-0.1,0.7,-0.01,-1.58,0.01,2.27,0.74,0.4,-0.35,0.07,0.12,-0.06,-0.14,0.45,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,29
1,31,PUSH,0.047,0.991,-0.126,0.0,0.098,-0.043,0.119,0.043,0.989,-0.094,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.1094,0.1065,-0.1065,False,-0.07,0.7,0.01,-1.58,-0.01,2.29,0.75,1.28,0.12,0.15,-0.05,-0.13,0.14,0.07,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,30
1,32,PUSH,-0.377,-0.912,0.163,0.0,0.09,-0.024,0.121,0.003,-0.082,0.298,0.114,-0.0,0.02,target_1,1,0.15,0.1,0.02,0.107,0.1065,-0.1065,False,-0.04,0.68,0.0,-1.62,-0.0,2.29,0.67,-0.09,-0.63,-0.04,-0.33,0.03,0.03,-0.64,-0.0,0.0,-0.002,0.0,0.0,-0.0,0.15000000596046448,0.0,0.019999999552965164,0.03600000596046447,0.15000000596046448,0.10000000149011612,0.019999999552965164,0.10628264546564836,-0.10000000149011612,0.0,0.019999999552965164,0.2140000014901161,-0.10000000149011612,0.10000000149011612,0.019999999552965164,0.23621177137431768,False,31
